name|Price|Raiting|Votes|5|3|Pointer Device|Web Camera|Included Software|HDD Capacity|Keyboard|Brand|Audio I/O Channels|Sales Package|Ideal For|RAID Configurations|
[]|['21']|['Rs. 31,499                ']|['9']|['4.6']|['Toshiba Satellite C50-A I2012 Laptop (3rd Gen Ci3/ 4GB/ 500GB/ No OS/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['3']|['Rs. 27,990                ']|['1']|['3.7']|['HP 240 240-F6Q29PA Intel Core i3  -  14 inch, 500 GB HDD, 2 GB DDR3, DOS Laptop']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['27']|['Rs. 38,900                ']|['12']|['4.3']|['HP Pavilion 15-N259TX Notebook (4th Gen Ci3/ 4GB/ 500GB/ Win8.1/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['10']|['Rs. 38,990                ']|['7']|['4.5']|['Lenovo Z50-70 Notebook (4th Gen Ci5/ 4GB/ 1TB/ Free DOS) (59-419432)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['15']|['Rs. 30,699                ']|['8']|['3.8']|['Acer Aspire E1-570 Notebook (3rd Gen Ci3/ 4GB/ 500GB/ Win8) (NX.MEPSI.007)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['9']|['Rs. 24,150                ']|['4']|['3.8']|['Acer E1-522 (NX.M81SI.010) Laptop (APU Quad Core A6/ 4GB/ 500GB/ Linux)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['17']|['Rs. 37,590                ']|['8']|['4.2']|['Dell Inspiron 15 3542 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Win8.1/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['58']|['Rs. 28,999                ']|['25']|['4.3']|['Dell Inspiron 15 3521 Laptop (3rd Gen PDC/ 4GB/ 500GB/ Ubuntu)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['12']|['Rs. 38,990                ']|['6']|['3.2']|['Dell Inspiron 15 3542 Notebook (4th Gen Ci5/ 4GB/ 1TB/ Ubuntu) (3542541TBiSU)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['5']|['Rs. 33,790                ']|['2']|['4.4']|['Dell Inspiron 15 3542 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Win8.1)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['125']|['Rs. 34,900                ']|['59']|['4.2']|['Dell Vostro 2520 Laptop (3rd Gen Ci3/ 4GB/ 500GB/ Win8)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['18']|['Rs. 29,410                ']|['7']|['3.2']|['Lenovo Essential G500 (59-383037) Laptop (3rd Gen Ci3/ 2GB/ 500GB/ Win8)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['7']|['Rs. 32,999                ']|['2']|['4.7']|['Lenovo Essential B490 (59-413237) Notebook (3rd Gen Ci3/ 4GB/ 500GB/ Free DOS/ 1GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
